data;count;death
2020-02-25;1;
2020-02-26;2;
2020-02-27;8;
2020-02-28;13;
2020-02-29;18;
2020-03-01;22;
2020-03-02;40;
2020-03-03;55;
2020-03-04;72;
2020-03-05;102;1
2020-03-06;198;1
2020-03-07;247;1
2020-03-08;343;2
2020-03-09;362;2
2020-03-10;476;3
2020-03-11;652;4
2020-03-12;868;7
2020-03-13;1139;11
2020-03-14;1375;13
2020-03-15;2195;14
2020-03-16;2353;14
2020-03-17;2742;21
2020-03-18;3028;21
2020-03-19;3438;33
2020-03-20;4840;43
2020-03-21;6113;56
2020-03-22;7014;60
2020-03-23;8060;66
2020-03-24;8836;86
2020-03-25;9765;103
2020-03-26;10714;161
2020-03-27;12161;197
2020-03-28;13213;235
2020-03-29;14336;257
2020-03-30;15475;295
2020-03-31;16176;373
2020-04-01;17139;378
2020-04-02;18267;432
2020-04-03;19303;484
2020-04-04;20278;540
