data;count;death
30-03-2020;42161;6818
31-03-2020;43208;7199
01-04-2020;44773;7593
02-04-2020;46065;7960
03-04-2020;47520;8311
04-04-2020;49118;8656
05-04-2020;50455;8905
06-04-2020;51534;9202
07-04-2020;52325;9484
08-04-2020;53414;9722
09-04-2020;54802;10022
10-04-2020;56048;10238
11-04-2020;57592;10511
12-04-2020;59052;10621
13-04-2020;60314;10901
14-04-2020;61326;11142
15-04-2020;62153;11377
16-04-2020;63094;11608
17-04-2020;64135;11851
18-04-2020;65381;12050
19-04-2020;66236;12213
20-04-2020;66971;12376
21-04-2020;67931;12579
22-04-2020;69092;12740
23-04-2020;70165;12940
24-04-2020;71256;13106
25-04-2020;71969;13269
26-04-2020;72889;13325
27-04-2020;73479;13449
28-04-2020;74348;13575
29-04-2020;75134;13679
30-04-2020;75732;13772
01-05-2020;76469;13860
02-05-2020;77002;14189
03-05-2020;77528;14231
04-05-2020;78105;14294
05-05-2020;78605;14389
06-05-2020;79369;14611
07-05-2020;80089;14745
08-05-2020;80723;14839
09-05-2020;81225;14924
10-05-2020;81507;14986
11-05-2020;81871;15054
12-05-2020;82904;15116
13-05-2020;83298;15185
14-05-2020;83820;15296
15-05-2020;84119;15411
16-05-2020;84518;15450
17-05-2020;84844;15519
18-05-2020;85019;15543
19-05-2020;85481;15597
20-05-2020;85775;15662
21-05-2020;86091;15727
22-05-2020;86384;15784
23-05-2020;86825;15840
24-05-2020;87110;15840
25-05-2020;87258;15874
26-05-2020;87417;15896
27-05-2020;87801;15954
28-05-2020;88183;15974
29-05-2020;88537;16012
30-05-2020;88758;16079
31-05-2020;88968;16112
01-06-2020;89018;16131
